,Activity Name (TO CHANGE TO ACTIVITY CODE),Failure Mode,Activity Description,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Applies to Product-Line,Comments,More Specific Activity Child,More General Activity Parent,Parent ID,Act ID
189,Manlift: Maintenance Log,,Generate a record of maintenance checks in a log.,,,,Generate,The owner should keep a record of the man lift maintenance checks in the form of a log in which all entries are signed by the person who carried out the checks.,APSOM,0.15,No,,,,,,,,8d93d718ece24469a10db28edbfc7cec
190,Wire Rope Sling  :  Inspection For Safe Usage,,Perform an inspection of Wire Rope Sling each day before being used. ,,Pre-use,,Inspect,"1910.184(f)(5)
Removal from service. Wire rope slings shall be immediately removed from service if any of the following conditions are present:
1910.184(f)(5)(i)
Ten randomly distributed broken wires in one rope lay, or five broken wires in one strand in one rope lay.
1910.184(f)(5)(ii)
Wear or scraping of one-third the original diameter of outside individual wires.
1910.184(f)(5)(iii)
Kinking, crushing, bird caging or any other damage resulting in distortion of the wire rope structure.
1910.184(f)(5)(iv)
Evidence of heat damage.
1910.184(f)(5)(v)
End attachments that are cracked, deformed or worn.
1910.184(f)(5)(vi)
Hooks that have been opened more than 15 percent of the normal throat opening measured at the narrowest point or twisted more than 10 degrees from the plane of the unbent hook.
1910.184(f)(5)(vii)
Corrosion of the rope or end attachments.",PT,,,,,,,,,,4194969a55204b3e8265922d01d24214
191,Manlift: Daily Pre-use Inspection,,Inspection of a Man Lift on a daily basis by the operator. ,,Pre-use,,Inspect,"1)  Daily prestart inspection 

All components that have a direct bearing on the safe operation of the aerial platform and whose status can change from day to day with use shall be visually inspected on a daily basis by the operator. In addition, these components, where applicable, practicable, and possible, shall be observed during operation for defects that could affect the safe operation of the aerial platform. Items such as, but not restricted to, the following shall be regularly inspected for defects and shall also be observed during operation and between regular inspections for defects:
(a) tires and wheels for cuts, obvious loose or missing lug nuts, broken tie rods, and adequate tire pressure;
(b) all fluids, such as fuel, engine oil, coolants, and battery fluid, for proper level;
(c) hydraulic hoses for leaks or loose connections;
(d) all quick disconnect hoses for proper connection;
(e) structural components for obvious damage, broken parts, and cracks in welds;
f) ladder or steps for damage and debris (ladder shall be firmly secured to the platform);
(g) beacon and warning lights for missing and defective lens or caps;
(h) operating and emergency controls for proper function;
(i) placards and warning signs for cleanliness, readability of control markings, rated capacity, and operating manual(s);
(j) platform assembly for loose and missing parts, missing or loose lock pins and bolts, and proper placement of the footswitch;
(k) platform floor for structural damage, holes or cracked welds, dirt, grease, or oil that can create a hazard;
(I) access gate for ease of movement, missing parts, latched and locking capabilities;
(m) fall protection system;
(n) safety devices for malfunction;
(o) proper operation of elevating, rotating, and drive functions;
(p) brakes for stopping capabilities;
(q) a horn for proper function;
(r) outriggers and stabilizers; and
(s) other items as specified by the manufacturer.
2) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",,,,,,,,,,,494dd26bebfd4bec84e59dc6cbcbd6d0
192,Manlift: Quarterly Inspection,,Perform quarterly inspection of the Man Lift on quarterly basis. ,3.0,Month,,Inspect,Perform quarterly inspection of the Man Lift on quarterly basis as per the standards and recommendations from the manufacturers. ,,,,,,,,,,,e4f7b4ed85b545f7b9eaaffc416c863e
193,Manlift: Safety Break,,"Perform the safety break inspection to insure it meets the TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 4.3 standards and manufacturer recommendation. ",1.0,,,Inspect,"Perform an inspection of the safety breaks as per the standards and manufacturer recommendations. 
4.3 Inspection and Testing of Safety Brake
4.3.1 The inspection and testing of a safety brake on an endless belt type manlift required in subsection 33.(2) of the Regulation shall ensure compliance with clause 5.2.2.3 of CSA Standard B311-M1979, Safety Code for Manlifts and Supplement No. 1 1984.
4.3.2 The inspection and testing of a safety device and overspeed governor on a counter-balanced or power type manlift required in subsection 33.(3) of the Regulation shall ensure compliance with clause 6.11.8 or 7.6.8.2, as the case may be, of CSA Standard B311-M1979, Safety Code for Manlifts and Supplement No.1 1984.
",,,,,,,,,,,96252df7007c4e52a5a0dffe1e103679
194,,,,,,,,,,,,,,,,,,,a2b74c461f204209af59cae1ba8a6917
195,Forklift: Inspection,,"A competent person should thoroughly examine Forklift and  determine its capability of handling the maximum load as rated as per CSA B335-15, Section: 8.4.2.",1.0,Year,,Inspect,"8.4.2 Inspection Fork inspection shall be carried out carefully, by trained personnel, with the aim of detecting any damage, failure, deformation, etc., that might impair safe use. Any fork that shows such a defect shall be withdrawn from service and shall not be returned to service unless it has been satisfactorily repaired in accordance with Clause 8.4.3.
Lift truck forks shall be inspected for the following:
a) Surface cracks — The fork shall be thoroughly examined visually for cracks and, if considered necessary, subjected to a non-destructive crack detection process, with special attention paid to the heel and welds attaching all mounting components to the fork blank. This inspection for cracks shall also include any special mounting mechanisms of the fork blank to the fork carrier, including bolt-type mountings and forged upper mounting arrangements for hook- or shaft-type carriages. The forks shall not be returned to service if surface cracks are detected.
b) Straightness of blade and shank — The straightness of the upper face of the blade and the front face of the shank shall be checked. If the deviation from straightness exceeds 0.5% of the length of the blade and the height of the shank, respectively, the fork shall not be returned to service until it has been repaired in accordance with Clause 8.4.3.
c) Fork angle (upper face of the blade to load face of the shank) — Any fork that has a deviation greater than 3° from the original specification shall not be returned to service. The rejected fork shall be reset and tested in accordance with Clause 8 4 3.
d) Difference in height of fork tips — The difference in height of one set of forks when mounted on the fork carrier shall be checked. If the difference in tip heights exceeds 3% of the length of the blade, the set of forks shall not be returned to service until repaired in accordance with Clause 8.4.3. e) Positioning lock (when originally provided) — It shall be confirmed that the positioning lock is in good repair and correct working order. If any fault is found, the fork shall be withdrawn from service until satisfactory repairs have been effected
f) Wear
i) Fork blade and shank — The fork blade and shank shall be thoroughly checked for wear, with special attention paid to the vicinity of the heel. If the thickness is reduced to 90% or less of the original thickness, the fork shall not be returned to service.
ii) Fork hooks (when originally provided) — The support face of the top hook and the retaining faces of both hooks shall be checked for wear, crushing, and other local deformations. If these are apparent to such an extent that the clearance between the fork and the fork carrier becomes excessive, the fork shall not be returned to service until repaired in accordance with Clause 8.4.3.
g) Legibility of marking (when originally provided) — If the fork marking is not clearly legible, it shall be renewed. Marking shall be renewed according to instructions from the original supplier.",,,,,,,,,,,ab77160fc5ef4818ad4bab237f61eba6
196,,,,,,,,,,,,,,,,,,,207f3745241646808c35b8a284164009
197,Elevator: Maintenance,,"Perform maintenance of the elevating device as per Ontario Regulation 209/01, Section: 32 and manufacturer recommendations.  ",,,,Maintain,"32. (1) An owner of an elevating device shall ensure that the elevating device is not used or operated unless it is maintained by a registered contractor in accordance with the requirements of this section.
(2) The methods and intervals of maintenance of an elevating device shall be determined by the owner or a contractor on behalf of the owner, on the basis of,
(a) the inherent quality and age of the device;
(b) the specifications for maintenance of the manufacturer, manufacturer's agent or of the contractor; and
(c) the frequency and method of use of the device.
(3) The maintenance of an elevating device shall include,
(a) an inspection and examination at regular intervals of all parts and functions of the elevating device;
(b) cleaning, lubricating and adjusting all its parts at regular intervals and repairing or replacing worn or defective components in order to prevent the device from becoming unsafe for operation;
(c) repairing or replacing damaged or broken parts;
(d) such other examinations or work as is required by this Regulation, the applicable code or standard referred to in the code adoption document or by an inspector. ",,,,,,,,,,,15a67e6c2ea74d25ad45fea8c012856d
198,Elevator: Establish frequency,,Perform periodic tests of elevating device as per standards and manufacturer recommendations. ,3.0,Month,,Test,"CSA B44-16
8.6.1.7 Periodic Tests
The frequency of maintenance and tests shall conform to the following;
(a) Where a Maintenance Control Program is in effect,
(1) the maintenance frequency shall be established as prescribed in 8.6, but in no case shall the interval between maintenance visits to an elevating device excluding wind tower elevators exceed three months, nor shall it exceed the manufacturer’s specified limit or other imposed limit which is less than three months (see CAD 2.9 for
example of a one month limit),",,,,,,,,,,,d57dd0cabff54ef89ae132ac570419cf
199,Elevator: Logbook,,Maintain a log book for each elevating device.,,As Per Usage,,,"34. (1) Every owner of an elevating device and every contractor shall maintain a log book for each elevating device that they own or maintain, and the log book shall contain up-to-date data on,
(a) all maintenance functions required to be recorded in the log book by the applicable code, standard or requirement referred to in the code adoption document or any applicable director's order; and
(b) such other data as are required to be kept in the log book by this Regulation.  O. Reg. 209/01, s. 34 (1);
(2) The log book shall be kept for a period of at least five years from the date of the last entry in the log book.  O. Reg. 209/01, s. 34 (2).
(3) The log book data shall be readily available at the location of the elevating device to an inspector, maintenance mechanic and other persons designated by the owner. ",,,,,,,,,,,6279c061bd2f410c9cff3f2556e220b2
200,Fixed Crane: Monthly Inspection,,"The crane shall be inspected monthly for defects, malfunctions, and damage as per CSA B167-16 section 6.4.1.",1.0,Month,,Inspect,"The crane shall be inspected for defects, malfunctions, and damage at the intervals specified in Items a) and shall be observed during operation to identify any problems that arise between periodic inspections. Visual and audible examinations shall be recorded in the maintenance log book (i.e., paper or electronic) or crane management software program by a competent person with findings of deficiencies at the following intervals:
a) Class A (standby or infrequent service) and Class B (light service):",Contractor,,No,,,,,,,,21def28741d041418116651f7b507a16
201,Fixed Crane: Weekly Inspection,,"The crane shall be inspected weekly for defects, malfunctions, and damage as per CSA B167-16 section 6.4.1.",1.0,Week,,Inspect,"The crane shall be inspected for defects, malfunctions, and damage at the intervals specified in Items b) and shall be observed during operation to identify any problems that arise between periodic inspections. Visual and audible examinations shall be recorded in the maintenance log book (i.e., paper or electronic) or crane management software program by a competent person with findings of deficiencies at the following intervals:
b) Classes C and D (moderate and heavy service): weekly to monthly;",Contractor,,No,,,,,,,,08c353a243364638895481287b9d9047
202,Fixed Crane: Daily Inspection,,"The crane shall be inspected daily for defects, malfunctions, and damage as per CSA B167-16 section 6.4.1.",1.0,Daily,,Inspect,"The crane shall be inspected for defects, malfunctions, and damage at the intervals specified in Items c) and shall be observed during operation to identify any problems that arise between periodic inspections. Visual and audible examinations shall be recorded in the maintenance log book (i.e., paper or electronic) or crane management software program by a competent person with findings of deficiencies at the following intervals:
c) Classes E and F (severe and continuously service): daily to weekly",Contractor,,No,,,,,,,,0a7e6a23ecca42eea75e880971cb5c6d
203,Fixed Crane: Inspection,,"The crane shall be inspected for defects, malfunctions, and damage as per CSA B167-16 section 6.4.1. and recommendation by manufacturer or an engineer. ",1.0,Daily,,Inspect,"The crane shall be inspected for defects, malfunctions, and damage at the intervals specified by manufacturer or an engineer. ",Contractor,,No,,,,,,,,bfb5b4e819a94499a3bb1bb618994017
204,Manlift: Safety Break Frequency ,,"Determine frequency to meet TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 4.3 standards inspection.",1.0,Year,,Verification,"Determine frequency to meet TSSA Elevating Devices Code Adoption  Document Amendment 277-19 May 3 2019, Section: 4.3 standards inspection as per manufacturer recommendation and usage. ",Contractor,,No,,,,,,,,c446f30518a647d0ace426e59ef83c67
205,Forklift: Hourly Service Report Inspection,,"Perform service report inspection of forklift as per CSA B335-15, Section: 8.2.3. ",200.0,Metered Run-Hour,,Inspect,"8.2.3 Service report inspections

a) A planned maintenance inspection, which is carried out by a trained, qualified maintenance technician. This inspection should occur in accordance with the manufacturer's recommended interval. In the absence of such recommendations, it should be conducted approximately every 200 h.",,,,,,,,,,,76e017a72409410f86575a30b88f1b72
206,Forklift: 2000hr/Annually Service Report Inspection,,"Perform service report inspection of forklift as per CSA B335-15, Section: 8.2.3. ",1.0,Year,,Inspect,"8.2.3 Service report inspections

b) An annual planned maintenance inspection, which is carried out by a trained, qualified maintenance technician. This inspection should occur approximately every 2000 h, or annually, whichever comes first.",,,,,,,,,,,5cc9ac040bcf458ebc4ed5bfa9acf67d
207,Forklift: Pre-Use Service Report Inspection,,"Perform service report inspection of forklift as per CSA B335-15, Section: 8.2.3. ",1.0,Pre-use,,Inspect,"8.2.3 Service report inspections

c) A lifting capacity inspection, which is a planned maintenance inspection carried out by a trained, qualified maintenance technician. This inspection is carried out to determine whether the lift truck is capable of handling the maximum load specified on the nameplate. This inspection shall be carried out prior to the lift truck being used for the first time, each time the lift truck is acquired by a new owner, and as often as recommended by the manufacturer, but no less than once per year.",,,,,,,,,,,d0c5f3a4ffda41478ed280da23f80a7b
208,Elevator: Frequency Requirement Details,,"Perform the required inspection and tests as per the manufacturer guidelines and CSA B44-16, Section: Table N-1.",,Asset Manual,,Inspect,"(2) testing shall be performed at intervals specified in Appendix N, such that;
(a) category 1 tests are performed annually,
(b) category 3 tests are performed every 3 years and
(c) category 5 tests are performed every 5 years

Note: Please refer to the image in the Requirement Name column",Contractor,,,,,,,,,,464b0ae464094beda0c766a25a3e348b
209,Fall Protection: Frequency Details,,"Perform the required inspection and tests as per the manufacturer guidelines and CSA Z259.17-16, Section: Table 5",,As Per Usage,,Inspect,"CSA Z259.17-16, Section: Table 5 is to be referred for test and inspection frequency details. ",Contractor,,,,,,,,,,0f02c406b7ab4e129ec3be1af272e18d
210,Fall Protection: Log Book,,"Maintain the log book for fall protection device as per CSA Z259.17-16, Section: 12.7.",,As Per Usage,,Inspect,"12.7
A record shall be created for each active fall-protection equipment and system. The record shall include the following:
a) the details specified in Table 6
b) Documentation on the maintenance and servicing history of all equipment, which shall be readily available until the equipment is permanently removed from service.",Contractor,,,,,,,,,,577fbb4119b842b9b0fe42d162728526
211,Fall Protection: Log Book Requirement Details,,"Maintain the log book for fall protection device as per CSA Z259.17-16, Section: Table 6",,As Per Usage,,Inspect,"CSA Z259.17-16, Section: Table 6 is to be referred for log book record keeping requirement. ",Contractor,,,,,,,,,,43d325321fc24739a77f9d74d97324db
212,Personal Gas Meter,,"Workers shall visually inspect gas detector
before each use as per I&DS Health & Safety SP 10 (2019)",,Pre-use,,Inspect,"Workers shall visually inspect the gas detector,
before each use, and look for:
a. Damaged / missing components
b. Proof of Servicing
c. Proof of Calibration
d. Proof of Bump Test
e. Do not use the unit under any circumstances if defects are present or information is missing. This is a life saving device",Contractor,,,,,,,,,,7f1edea39f8a495681d9c1472ef01751
213,Self-contained Breathing Apparatus (SCBA): General Inspection Requirement,,"Perform the inspection and test as per manufacturer guidelines and  CSA-Z94.4-18, Section: 11.3.3.1.1.",1.0,Year,,Inspect,"11.3.3.1 General requirements for inspection of steel, aluminum, and fibre-reinforced cylinders
11.3.3.1.1 A qualified person shall Inspect cylinders externally and internally In accordance with
a) CSA B339 and CSA B340;
b) CGA C-6, C-6.1, or C-6.2, as applicable;
c) applicable transport regulations; and
d) the manufacturer's Instructions.
Notes: 1) Visual internal inspections are required for all cylinders at the time of their hydrostatic testing; see Clouse 11.6.2 for hydrostatic testing requirements. 2) In Canada, applicable transport regulations are issued by Transport Canada under the Transportation of Dangerous Goods Act.
11.3.3.1.2 All composite SCBA cylinders (e.g., fibreglass, Kevlar, carbon-wrapped, or hoop-wound) shall be removed from service no later than 15 years from their date of manufacture.
11.3.3.1.3 Steel and aluminum cylinders over 15 years old shall have the interior of the cylinder inspected at least annually by a qualified person when these cylinders are in current use. Note: This Clouse does not extend the service life of cylinders.",Contractor,,,,,,,,,,55b809f34274490caa6bb6b2de04d630
214,Self-contained Breathing Apparatus (SCBA): CGA C-6,,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.,,,,Inspect,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.,Contractor,,,,,,,,,,a7de57012f0c400ba90ae533c1ae900f
215,Self-contained Breathing Apparatus (SCBA): CGA C-6.1,,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.1.,,,,Inspect,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.1,Contractor,,,,,,,,,,cb14c1b4e5554d3493100c27e4bc02b6
216,Self-contained Breathing Apparatus (SCBA): CGA C-6.3,,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.3.,,,,Inspect,Perform the inspection and test as per manufacturer guidelines and  CGA C-6.3.,Contractor,,,,,,,,,,980928f9382e43b2ab18dfa76de11ff7
217,Self-contained Breathing Apparatus (SCBA): Containers Requalification,,"Requalify the SCBA containers as per CSA 339-18, Section: 24.2.9.2.",1.0,Year,,Inspect,"24.2.9.2 The requalification period for containers requalified by external visual reinspection, as specified in Clause 24.2.9.1, shall be 5 years. An extension to 10 years may be permitted, provided the container is confined to a service in compliance with the following:
a) the lading is a liquefied gas;
b) the LC5o of the lading, by reason of toxicity, is not less than 5000 mL/m3;
c) the LC5o of the lading, by reason of a corrosion effect on tissues of the respiratory tract, is not less than 5000 mL/m3; and d) contamination of the lading by water does not make the lading corrosive to the metals of containment. Note: LC50 is defined in the Transportation of Dangerous Goods Regulations.",Contractor,,,,,,,,,,971ae3110e0846e48045bcb19aecc463
218,Self-contained Breathing Apparatus (SCBA): Visual Inspection,,"Perform the inspection and test as per manufacturer guidelines and  CSA 339-18, Section: 24.2.9.3",,,,Inspect,"24.2.9.3 The visual inspection in lieu of the pressure retest may be used on the following containers:
a) TC-3AM, DOT-3A, TC-3AAM, DOT-3AA, DOT-3B, TC-3ANM, TC-3ASM, DOT-3A480X, DOT-3BN, TC-4AAM33, DOT-4AA480, TC-4BM, DOT-4B, TC-4BAM, DOT-4BA, TC-4BWM, DOT-4BW, DOT-4B240FLW,TC-4BM17ET, DOT-4B240ET, TC-4EM, and DOT-4E containers used to transport a liquefied or nonliquefied noncorrosive gas that requires a marked service pressure not exceeding 3.5 MPa;
b) ICC-3, TC-3AM, DOT-3A, TC-3AAM, DOT-3AA, TC-3ASM, DOT-3B, TC-4BM, DOT-4B, TC-4BAM, DOT-4BA, TC-4BWM, and DOT-4BW containers used exclusively to transport hydrogen fluoride, anhydrous. TC-4BM, DOT-4B, TC-4BAM, and DOT-4BA cylinders shall be of welded construction only. All cylinders shall be cleaned to bare metal before reinspection;
c) TC-4BM, DOT-4B, TC-4BAM, DOT-4BA containers of welded construction only, and TC-4BWM and DOT-4BW cylinders used to transport ethyleneimine, inhibited;
d) steel or nickel cylinders used to transport nickel carbonyl; and
e) cylinders used to transport flammable or corrosive liquids without addition of compressed gas.",Contractor,,,,,,,,,,24f007483fff43f8a47b55642f2e7e7e
219,Self-contained breathing apparatus (SCBA): Hydrostatic Test Inspection,,"Perform hydrostatic pressure test for SCBA cylinders to test the structural integrity of cylinders as per CSA-Z94.4-18, Section: 11.6.2.",,,,Test,"11.6.2 Hydrostatic test
11.6.2.1 Cylinders shall be hydrostatically tested at a frequency and in the manner described in CSA B339 and CM B340. Note: Hydrostatic tests are required every 5 years for all SCBA cylinders.
11.6.2.2 Hydrostatic testing shall be performed by a registered facility in accordance with the requirements of CSA B339 and CSA B340.",Contractor,,,,,,,,,,3e57ac9f687040098c67c98a9a174c98
220,"Self-contained breathing apparatus (SCBA):  Fit Test, Parts Inspection",,Perform fit test and inspect parts as per the manufacturer guidelines and standards requirements. ,,Pre-use,,Test,"Breathing air must be replaced 

All components (cylinders, hoses, regulator, pressure gauges, facepiece, harness)
Fit test and ensure all appropriate staff have practiced use of SCBA equipment 

Inspect tank for date stamp of last hydrostatic test 

Replace air in tanks Cylinder inspected internally and externally by qualified service technician 

Apparatus components (hoses, regulator, pressure gauges, facepiece, harness, etc.) inspected by qualified service technician Regulator flow test performed by qualified service technician",Contractor,,,,,,,,,,87a7dc56836145b986b868e60c36c885
221,Self-contained Breathing Apparatus (SCBA): Containers Requalification Period,,"Requalify the SCBA containers as per CSA 339-18, Section: Table 29",,Pre-use,,Inspect,"Requalify the SCBA containers as per CSA 339-18, Section: Table 29 frequency details. ",Contractor,,,,,,,,,,d917c5dff91e4c1fac667f7f1028806b
222,Self-contained Breathing Apparatus (SCBA): Unused Cylinder,,"Refill air in the unused cylinders as per CSA-Z94.4-18, Section: 11.5.5.2 standards. ",1.0,Year,,Change,"11.5.5.2 Prior to using a SCBA cylinder that has not been used in any 12-month period, the air shall be discarded by slowly depressurizing the cylinder to the atmosphere and refilling it with compressed breathing air meeting the requirements of CSA Z180.1.",Contractor,,,,,,,,,,45833118aa0e413d98f182a26495a8ae
223,Self-contained Breathing Apparatus (SCBA): Cylinder Interior Inspection,,"Inspect the interior of the cylinder that are in operation for over 15 years as per CSA-Z94.4-18, Section: 11.3.3.1.3.",1.0,Year,,Inspect,"11.3.3.1.3 Steel and aluminum cylinders over 15 years old shall have the interior of the cylinder inspected at least annually by a qualified person when these cylinders are in current use. Note: This Clouse does not extend the service life of cylinders
",Contractor,,,,,,,,,,6f9c7b50aaea40b18f1a6dd74a8e1a74
224,Generator: Semi-Annual,,"Perform the semi annualinspection of the generator as per CSA C282-15, Section.",6.0,Month,,Inspect,"1. Complete all items specified in CSA C282:19 Tables 2 and 3.
2. Inspect and clean engine crankcase breathers.
3. Inspect and clean all engine linkages.
4. Lubricate the engine governor and ventilation system.
5. Test protective devices for proper operation.
6. Before start-up, perform two full cranking cycles (as specified in Clauses 10.4.1 and 10.4.2). Near the end of each
cycle (and while still cranking), measure and record the lowest indicated battery voltage. If the measured voltage is
less than 80% of the battery's rated voltage, replace the battery. Alternatively, perform a battery load test using a
suitable load tester.
7. Inspect ventilation system belt(s).
8. Correct all defects found during inspections and tests.
9. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",Contractor,,,,,,,,,,5a54c392194545a4ae6920630d0e57d3
225,Generator: Annual,,"Perform the annual inspection of the generator as per CSA C282-15, Section.",1.0,Year,,Inspect,"1. Complete all items specified in CSA C282:19 Tables 2 to 4. For the load test (item 2. (c) in Table 3) increase the
minimum load to 40% of the rated load for 60 minutes.
2. Control panel (see Clause B.29):
a) Open all inspection covers and inspect all electrical connections.
b) Test breakers for proper operation.
c) Clean insulators and bushings.
d) Test voltage regulator for proper operation.
e) Operate all moving parts to ensure that they move freely.
f) Clean and dress contacts as necessary.
g) Remove all dust.
h) Check gauge calibration.
i) For off-site fueled generators, turn position-indicating gas valve to off-position to ensure valve rotates properly
and that the audible alarm on generator control panel is activated.
3. Engine:
a) Change engine lubrication oil and filters.
b) Test strength of coolant and chemical protection level of coolant inhibitors.
c) Change fuel filters, clean strainer(s), and verify that the fuel supply valve is open.
d) Inspect the exhaust system. Check and record the back pressure of the exhaust system to ensure that it
complies with the engine manufacturer’s requirements, and compare with previous readings.
e) Clean and lubricate linkages.
f) Inspect air filters.
g) Inspect all mechanical connections.
h) Inspect all electrical connections.
i) Inspect all external surfaces of heat exchanger(s) and clean as necessary.
j) Inspect all belts and hoses and replace if necessary.
k) Test and inspect ignition system(s). Replace any defective components.
l) Inspect coolant pump(s) for leaks and external wear [if belt driven, remove the belt(s) first].
4. Diesel fuel storage tank(s):
The fuel oil in any storage tank (and auxiliary supply tank, if used) shall be tested in accordance with Clause 11.5.5,
and if the fuel oil fails the test, it shall be:
a) drained and refilled with fresh fuel in accordance with Article 6.5.1.5 of the National Fire Code of Canada; or
b) full filtered to remove water, scale, bacteria, and oxidized gums/resins in order to minimize filter clogging and
ensure diesel start-up (see Clause B.30 for commentary).
Note: The bottom(s) of the tank(s) shall be also tested chemically for water. When the fuel is filtered, it shall be
treated with a suitable conditioner and stabilizer to minimize degradation while in storage.
5. Generator:
a) Test surge suppressor and rotating rectifier on brushless machines.
b) Grease bearings (replace old grease with new) (if applicable).
c) Clean commutator and slip rings (if applicable).
d) Clean rotor and stator windings using clean compressed air.
e) Inspect coupling bolts and alignment.
f) Inspect conduits for tightness.
g) Inspect windings at rotor and stator slots.
h) Inspect all electrical connections.
6. Overcurrent protective devices:
a) Electrically isolate all overcurrent protective devices.
b) Remove all dust.
c) Test devices for proper operation.
7. Transfer switches:
a) Isolate transfer switch, open all inspection covers, and inspect all electrical connections.
b) Operate all moving parts to ensure that they move freely.
c) Clean and dress contacts as required.
d) Remove all dust.
e) Clean and lubricate linkages.
8. Infrared thermal imaging:
Perform infrared thermal imaging of the normal power supply (preferred) side of each transfer switch. Ensure
that the normal power supply side of each transfer switch has been loaded to at least 40% of the circuit rating
of the normal power supply feeder for at least 60 min and that the load does not drop below 40% during the
imaging. Scan all electrical connections, contacts, and energized components.
At the end of the 60 min load test (Item 2 c), Table 3), with the emergency power supply system (all
components) still operating under at least 40% load, perform infrared thermal imaging of all components from
the point where the load bank cables will be connected (for the 2 h full load test), through to and including the
load side of each transfer switch. Scan all electrical connections, contacts, circuit breakers, and energized
components.
After at least 60 min of the emergency generator full load test (see Clause 11.3), with the emergency generator
still operating under full load, conduct infrared thermal imaging of all components from the load terminals of
each alternator through to the connection point for the load bank cables. Scan all electrical connections,
contacts, circuit breakers, and energized components.
Correct any components or connections that displayed unacceptably high temperatures or unacceptable
differences in temperature between phases, during the tests in Items a), b), and c) above.
Repeat the infrared thermal imaging for any components and connections that were serviced, repaired, or
replaced following the scans performed in Items a), b), or c) above.
9. Lubricate door locks and hinges (if necessary), especially those of outdoor enclosures.
10. Conduct a 2 h full load test (see Clause 11.3).
11. As needed, review and provide instruction on the technical requirements specified in Tables 2 to 4 with the
person(s) responsible for carrying out the work.
12. Correct all defects found during inspections and tests.
13. Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",,,,,,,,,,,592b99d12c1c40178063c969f8c7b7b6
226,Generator: Fuel Storage Tank,," Liquid fuel storage tanks shall be drained and refilled with fresh fuel as per National Fire Code of Canada 2015, Section: 6.5.1.5",1.0,Year,,Change,"6.5.1.5. Supply of Fresh Fuel
1) Liquid fuel storage tanks shall be drained and refilled with fresh fuel at intervals
not greater than 12 months. (See Note A-6.5.1.5.(1).)",,,,,,,,,,,0d91d62548d64b1ebec3ed55f1c77bb7
227,Generator: Fuel Storage Tank Test Program,,"Perform the activity by following National Fire Code of Canada 2015, Section: A-6.5.1.5.(1) requirements. ",1.0,Year,,Test," Achieve National Fire Code of Canada 2015, Section: 6.5.1.5 requirement by following A-6.5.1.5.(1).)",,,,,,,,,,,574a8c7a4a674f898651ceab9a1dcb48
228,Web Sling: Inspection,,Perform inspection of the web sling as per ASME B30.10 and ASME B30.26.,,Metered Run-Hour,,Inspect,Perform inspection of the web sling as per ASME B30.10 and ASME B30.26.,,,,,,,,,,,be371e93d64d4e5c8426e073f4f71d08
229,TSSA Regulated Pressure Vessel: Quick Opening,,"Inspect pressure vessels fitted with a quick-opening door and de-aerators as per Ontario Regulation 220/01 Code Adoption Document, Section: 5.2.Table 1.E",1.0,Year,,Inspect,"Inspect pressure vessels fitted with a quick-opening door and de-aerators annually as per Ontario Regulation 220/01 Code Adoption Document, Section: 5.2.Table 1.E",,,,,,,,,,,db12996c43d24a5bb0cdf6b9feec25a7
230,TSSA Regulated Pressure Vessel: Low Pressure Boiler,,"Inspect low pressure boilers (internally and externally) as per Ontario Regulation 220/01 Code Adoption Document, Section: 5.2.Table 1.C ",2.0,Year,,Inspect,"Inspect low pressure boilers (internally and externally) every 2 years as per Ontario Regulation 220/01 Code Adoption Document, Section: 5.2.Table 1.C ",,,,,,,,,,,75f072be3e1a4c82b483ee2f091b2f60
231,TSSA Regulated Pressure Vessel: Cushion Tanks & Hydropneumatics Tanks,,"Inspect cushion tanks and hydropneumatic tanks as per Ontario Regulation 220/01 Code Adoption  Document, Section: 5.2.Table 1.D",3.0,Year,,Inspect,"Inspect cushion tanks and hydropneumatic tanks as per Ontario Regulation 220/01 Code Adoption  Document, Section: 5.2.Table 1.D",,,,,,,,,,,d7be48a89848480c88728e392891f126
232,Power Boiler: Post Inspection Report,,"Generate and deliver inspection report as per Ontario Regulation 220/01 Code Adoption   Document, Section: 4.2",,Post-inspection,,Inspect,"4.2. An inspection report, which permits the operation of a boiler or pressure vessel for a limited time, until such time as the Certificate of Inspection is issued, shall be issued by a Technical Standards and Safety Authority Inspector, on behalf of the Director, after a first or installation inspection has been passed.",,,,,,,,,,,936704a0a7fc4af8a421e5174b10acab
