Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
"CAN/CGSB 65.11-M88, Section: ",,,,"Perform Visual Inspection:
Inspect for rips, tears, excessive abrasion or holes. Check all seams are securely sewn, and the cover, straps and hardware are still strong.

Perform the Oral Inflation Valve Test:
Fully inflate the PFD using the oral inflator, and then hold the valve under water. If bubbles appear, deflate the PFD and re-inflate it again.

Perform the Leak Test:
To test for air leakage, orally inflate PFD until firm and then let it sit inflated for 16 hours. A PFD with a leak in it will not hold its firmness and should be replaced.

Check for dirt and corrosion and replace all corroded parts.

Check Bobbin (for auto-inflate model):
Inflatable PFDs may use a bobbin activation system. Inspect the pill to make sure it�s still intact and replace the pill if it looks compromised.

Record �Annual� in permanent ink on the PFD service record label.","https://www.notion.so/Personal-Floatation-Device-PFD-A-Inspection-77508a296dc240e7928809e5d8c741fd, https://www.notion.so/Personal-Floatation-Device-PFD-B-Oral-Valve-test-3dd296ed27c9430f8133119cd20cb40b, https://www.notion.so/Personal-Floatation-Device-PFD-C-Leak-Test-64d3302deb764774b45816e5ff29be13","77508a296dc240e7928809e5d8c741fd,3dd296ed27c9430f8133119cd20cb40b,64d3302deb764774b45816e5ff29be13",,,,https://www.notion.so/personal-floatation-device-PFD-877bbbcaedd743f48d1f9619e0103ffb,877bbbcaedd743f48d1f9619e0103ffb,,0438d5208f9a4b40a85814bc670b11b2,CAN/CGSB 65.11-M88,,Annually,Staff,,#CannotAccessMissingDetail,"CAN/CGSB 65.11-M88, Section: ",
"Ontario Regulation 632/05, Section: 18.",,,18,"18.
(3) The person performing the tests shall use calibrated instruments that are in good working order and are appropriate for the hazards identified in the relevant assessment.  O. Reg. 632/05, s. 18 (3).
(4) The employer shall ensure that the results of every sample of a test are recorded, subject to subsection (5).  O. Reg. 632/05, s. 18 (4).
(5) If the tests are performed using continuous monitoring, the employer shall ensure that test results are recorded at adequate intervals.  O. Reg. 632/05, s. 18 (5).
(6) The tests shall be performed in a manner that does not endanger the health or safety of the person performing them.  O. Reg. 632/05, s. 18 (6).
(7) In this section,
“sample” means an individual reading of the composition of the atmosphere in the confined space; (“prélèvement”)
“test” means a collection of samples. (“essai”)  O. Reg. 632/05, s. 18 (7).


","https://www.notion.so/Personal-Gas-Meter-1f721524252045ae8e8ad3f17ce6e6e8, https://www.notion.so/Personal-gas-meter-detector-Test-Data-Record-d3faddfebe6a4b91a3e2ee9c9a7e63ba","1f721524252045ae8e8ad3f17ce6e6e8,d3faddfebe6a4b91a3e2ee9c9a7e63ba","https://www.notion.so/I-DS-Health-Safety-SP-10-2019-Section-03e31e90515d4fd5a2cfa4241ccd6b62, https://www.notion.so/Section-Personal-Gas-Meter-51c5a213c2084718bf72e534dd0c467f",,,https://www.notion.so/personal-gas-meter-1df8bfffdf0a4f02a052ed8cd5b63191,1df8bfffdf0a4f02a052ed8cd5b63191,Maybe,2a667c7563204f3cb201df17cf8fe586,Ontario Regulation 632/05,,"#freqIn{I&DS Health & Safety SP 10} related to the bump test and calibration check

actual calibration frequency is #perOEM
","See Note, Staff",https://www.ontario.ca/laws/regulation/050632,"TH: This requirement requires us to 1) check the calibration before use. 2) to perform calibration. 3) based on TW stand, perform bump test before use. 

[X] Agam: index our City requirement 

SC: http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/atmospheric-test-record.pdf

July 29 AJ: The procedure does not need to be created. Plant will use the mfg documentation to perform the test. Requirements for the test and fail criteria has been given. ","Ontario Regulation 632/05, Section: 18.",
"I&DS Health & Safety SP 10 (2019), Section: ",,,,Please click on the link in URL column for details. ,https://www.notion.so/Personal-Gas-Meter-7f1edea39f8a495681d9c1472ef01751,7f1edea39f8a495681d9c1472ef01751,,https://www.notion.so/Ontario-Regulation-632-05-Section-18-2a667c7563204f3cb201df17cf8fe586,2a667c7563204f3cb201df17cf8fe586,https://www.notion.so/personal-gas-meter-1df8bfffdf0a4f02a052ed8cd5b63191,1df8bfffdf0a4f02a052ed8cd5b63191,,03e31e90515d4fd5a2cfa4241ccd6b62,I&DS Health & Safety SP 10 (2019),,#perOEM,Contractor,http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/gas-detection-equipment.pdf,,"I&DS Health & Safety SP 10 (2019), Section: ",
", Section: Personal Gas Meter",,,,Refer to the details in “Requirement Name” column. ,https://www.notion.so/Personal-Gas-Meter-Bump-test-fd478df46883421ca90bf33e4ac91cc7,fd478df46883421ca90bf33e4ac91cc7,,https://www.notion.so/Ontario-Regulation-632-05-Section-18-2a667c7563204f3cb201df17cf8fe586,2a667c7563204f3cb201df17cf8fe586,https://www.notion.so/personal-gas-meter-1df8bfffdf0a4f02a052ed8cd5b63191,1df8bfffdf0a4f02a052ed8cd5b63191,,51c5a213c2084718bf72e534dd0c467f,,,Pre-use,"See Note, Staff",https://sps-support.honeywell.com/s/article/What-does-Honeywell-Analytics-recommend-on-Gas-Detection-Bump-Test-and-Calibration-Frequency-Interval,"Requirement text not found in the sited source(s).
CSA C22.2 No. 152-M1984 
O-Reg 632/05 42 (1) (3) - 632/05 ends at 22 sections. 
#SourceUnknown

This has been incorporated into an activity",", Section: ",
"Ontario Regulation 851/90, Section: 73",,,73,"73. A portable ladder shall,
(a) be free from broken or loose members or other faults;
(b) have non-slip feet;
(c) be placed on a firm footing;
(d) where it,
(i) exceeds six metres in length and is not securely fastened, or
(ii) is likely to be endangered by traffic,
be held in place by one or more workers while being used; and
(e) when not securely fastened, be inclined so that the horizontal distance from the top support to the foot of the ladder is not less than 1/4 and not more than 1/3 of the length of the ladder.  ",https://www.notion.so/SP-25-Fixed-Vertical-Ladder-Inspection-72e58f6552e6450ea89a4575d32e4943,72e58f6552e6450ea89a4575d32e4943,,,,https://www.notion.so/portable-ladder-79fddffa402d41d1aee6c4e68bce3341,79fddffa402d41d1aee6c4e68bce3341,Yes,c393d513f9444288a7848b15cfd1b930,Ontario Regulation 851/90,,"Prior to use, during use",Staff,https://www.ontario.ca/laws/regulation/900851,Activity modified to fully ground the Reg. ,"Ontario Regulation 851/90, Section: 73",
"CSA B149.6-20, Section: 13.7",,,13.7,"13.7 Pressure/vacuum-relief valve protective housing maintenance
Regularly scheduled inspections shall be made of each housing containing pressure-limiting equipment or relief devices to determine whether the housing is in good physical condition and adequately vented. The condition of the housing access openings shall be examined to ensure that they do not present a safety hazard.",https://www.notion.so/Pressure-Vacuum-Relief-Valve-5b3aeda3a7cb4e75ba683d79df04fa2b,5b3aeda3a7cb4e75ba683d79df04fa2b,,,,https://www.notion.so/pressure-relieving-equipment-f292f850f3c5432592437d1d0c59785d,f292f850f3c5432592437d1d0c59785d,,196deb6a9c3b46e1a018106934157391,CSA B149.6-20,,,"Contractor, See Note",https://www.csagroup.org/store/product/CSA%25100ANSI%20B149.6%3A20/,"#CannotAccessMissingDetail
New Classification needs to be created for housing? TH: No need for new classification
SC: I don’t think I entered this. The CSA Standard (2015 version) is accessible on CCOHS. Please refer to sec. 4.3.2 in CSA B149.6-15","CSA B149.6-20, Section: 13.7",
TSSA BPV-20-01 exception to CSA B51 on pressure vessels and piping systems,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,1.40.c,"Pressure vessels and piping systems:
i. steam service shall be serviced every 5 years; where annual lift tests are
conducted from the beginning of the service interval, servicing may be extended to
a maximum of 8 years,
ii. air service shall be serviced every 5 years; where annual lift tests are conducted
from the beginning of the service interval, servicing can be extended to a
maximum of 10 years,
iii. Anhydrous ammonia; flammable, cryogenic and dry; flammable non-corrosive,
non-toxic, non-fouling gases shall be serviced every 5 years,
iv. Non-flammable cryogenic and dry; non-flammable non-corrosive, non-toxic, nonfouling gases shall be serviced every 5 years; servicing may be extended to every
10 years if system pressure testing is performed every 5 years,",,,,,,,,,e83e3a828d6548fe96f0969f37cd58ec,,,,,,,", Section: 1.40.c",
TSSA BPV-20-01 exception to CSA B51 on OTHER pressure vessels and piping systems,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,1.40.d,"Other pressure vessels and piping systems not listed above, including boilers other than steam or hot water service, shall be serviced every 3 years.
Comment: {
The word other is meaningful in relation to the following:
i. steam service shall be serviced every 5 years; where annual lift tests are
conducted from the beginning of the service interval, servicing may be extended to
a maximum of 8 years,
ii. air service shall be serviced every 5 years; where annual lift tests are conducted
from the beginning of the service interval, servicing can be extended to a
maximum of 10 years,
iii. Anhydrous ammonia; flammable, cryogenic and dry; flammable non-corrosive,
non-toxic, non-fouling gases shall be serviced every 5 years,
iv. Non-flammable cryogenic and dry; non-flammable non-corrosive, non-toxic, nonfouling gases shall be serviced every 5 years; servicing may be extended to every
10 years if system pressure testing is performed every 5 years,
}",,,,,,"https://www.notion.so/Defined-TSSA-regulated-pressure-vessel-78b0cef71ccf46ca8d74fa04ea01406e, https://www.notion.so/piping-system-315f3959781f42bd81154d50fa751f1b","78b0cef71ccf46ca8d74fa04ea01406e,315f3959781f42bd81154d50fa751f1b",,f6da1aba0c3c4baeaac7190ee8a2f4c0,,,3 Years,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Final-BPV-CAD-Amendment-2017.pdf,AJ May 10/22: Does piping needs to be added to the EH&S scope?,", Section: 1.40.d",
"ASTM F1236-96 (2012), Section: 1910.137 (c) (2) (iii)",,,1910.137 (c) (2) (iii),"Inspect rubber insulation gloves/sleeves for the following
- A hole, tear, puncture, or cut;
- Ozone cutting or ozone checking (a series of interlacing cracks produced by ozone on rubber under mechanical stress);
- Embedded foreign objects;
- Texture changes such as: swelling, softening, hardening, or becoming sticky or inelastic; or
- Any other defect that damages the insulating properties","https://www.notion.so/Rubber-Insulating-Gloves-effectiveness-Inspection-3bc4d3b9865a41f0b2218296c489a1f3, https://www.notion.so/Rubber-Insulating-Sleeves-Inspection-1e4622b0740044e29852ceb65f35efba","3bc4d3b9865a41f0b2218296c489a1f3,1e4622b0740044e29852ceb65f35efba",,,,"https://www.notion.so/rubber-insulating-gloves-4ceeba85fd22426fb48479b1827dcbc3, https://www.notion.so/rubber-insulating-sleeves-043b3ee7f2be4dc09c36122eb8ed7786","4ceeba85fd22426fb48479b1827dcbc3,043b3ee7f2be4dc09c36122eb8ed7786",,30fb14b97dac44fc98cf542b51dcedc3,ASTM F1236-96 (2012),,6 months,"Contractor, See Note",https://webstore.ansi.org/standards/astm/astmf1236962012,"#CannotAccess, #NoPurchase","ASTM F1236-96 (2012), Section: 1910.137 (c) (2) (iii)",
"ASTM F496-20, Section: ",,,,Complete air test as per ASTM F496-20,"https://www.notion.so/Rubber-Insulating-Gloves-Air-Test-101a7f7164d6491b8e59108011181fa6, https://www.notion.so/Rubber-Insulating-Sleeves-Air-Test-8f4c275c48db40c5896181513ed92c21","101a7f7164d6491b8e59108011181fa6,8f4c275c48db40c5896181513ed92c21",,,,"https://www.notion.so/rubber-insulating-gloves-4ceeba85fd22426fb48479b1827dcbc3, https://www.notion.so/rubber-insulating-sleeves-043b3ee7f2be4dc09c36122eb8ed7786","4ceeba85fd22426fb48479b1827dcbc3,043b3ee7f2be4dc09c36122eb8ed7786",,bc3008dc34054841af8abedfad3efe1b,ASTM F496-20,,6 months,Contractor,https://webstore.ansi.org/Standards/ASTM/ASTMF49620,"#CannotAccessMissingDetail, #NoPurchase","ASTM F496-20, Section: ",
"Ontario Regulation 213/91, Section: 132. (1)",,,132. (1),"132. (1) A professional engineer shall inspect and give a written opinion as to the structural adequacy of a centre pole scaffold used in silo construction when required by subsection (2). O. Reg. 213/91, s. 132 (1).

(2) An inspection shall be performed on the earlier of,

(a) the twenty-fourth time the scaffold is erected following the most recent inspection; or

(b) for a scaffold used in the construction of,

(i) a monolithic silo, two years after the scaffold is erected or after the most recent inspection, and

(ii) a stave silo, one year after the scaffold is erected or after the most recent inspection. O. Reg. 213/91, s. 132 (2).

(3) The employer responsible for constructing the silo shall keep with a scaffold every written opinion by a professional engineer concerning the scaffold while it is in use on a project. O. Reg. 213/91, s. 132 (3).

(4) The employer responsible for constructing the silo shall record information about the frequency of use of the scaffold in a log book which shall be kept with the scaffold while it is in use on a project. , s. 132 (4).",https://www.notion.so/Scaffold-Inspection-Frequency-188e5dc48cdd4f888dc24b3409fefe4e,188e5dc48cdd4f888dc24b3409fefe4e,,,,https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4,4961170b77b24110a3655ba7386b04c4,No,27afcf1edd124265b010b8edac9cc2d0,Ontario Regulation 213/91,,As per activity,"Contractor, See Note",https://www.ontario.ca/laws/regulation/910213,"AJ: All the inspection is required by professional engineer. 
Do we consider this as an inspection? (I dont think so)
#########################

SC: For scaffolds with drawings we are not required to inspect it every time it is erected.","Ontario Regulation 213/91, Section: 132. (1)",
"CSA Z797-18, Section: 8.2",,,8.2,"Prior to being place into service, an engineered scaffold shall be inspected by the person responsible for the design drawings or their delegate to ensure compliance with the Standard (Z797-18) and the design drawings. A record of inspection shall be kept in accordance with clause 8.6.

",,,,,,https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4,4961170b77b24110a3655ba7386b04c4,,9781fa977f234e458b0c481d3b218514,CSA Z797-18,,Prior to being placed into service,,https://www.csagroup.org/store/product/Z797-18/,To be performed by contractor or engineer. ,"CSA Z797-18, Section: 8.2",
"CSA Z797-18, Section: 8.3",,,8.3,"8.3 Inspection by user before use A scaffold shall be inspected before initial use by the user or by a competent person acting for the user who has been trained in accordance with the requirements of Clause 9, to determine that
a) there are no missing or improperly fitted components;
b) there is no part or component that is damaged or unusable;
c) the loading and use of the scaffold are in accordance with the duty rating; and
d) a method is in place for the communication of the results of the inspection (see Clause 7.2.3).
A record of this inspection shall be kept in accordance with Clause 8.6.",https://www.notion.so/Scaffold-Inspection-for-Safe-Use-a65e0b383eb04e5bb5edcb899edd6787,a65e0b383eb04e5bb5edcb899edd6787,,,,https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4,4961170b77b24110a3655ba7386b04c4,,b1d96ed5903244f09f7ac468c08bd6c3,CSA Z797-18,,Prior to use,Staff,https://www.csagroup.org/store/product/Z797-18/,Mentioned Clause 9 is regarding training. ,"CSA Z797-18, Section: 8.3",
"CSA Z797-18, Section: 8.4",,,8.4,"8.4 Periodic inspection 
The requirements for periodic inspection are as follows:
a) A competent person shall inspect the scaffold at intervals, according to the requirements of the authority having jurisdiction, or daily where that authority has not made a requirement, to ensure
i) the scaffold is being properly maintained and is not undergoing detrimental deformation;
ii) the scaffold is capable of withstanding all loads, including expected eccentric loads; and
iii) the duty rating of the scaffold has been communicated to the user (see Clause 7.4.1).
b) A competent person might determine that inspections shall be performed more frequently than as specified in Item a) because of factors such as, but not limited to, the type of environment in which the scaffold is being used and the structure to which the scaffold is tied.
c) The required inspection frequency and the dates of inspections shall be communicated to the user.
d) A record of this inspection shall be kept in accordance with Clause 8.6.",https://www.notion.so/Scaffold-Inspection-for-Safe-Use-a65e0b383eb04e5bb5edcb899edd6787,a65e0b383eb04e5bb5edcb899edd6787,,,,https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4,4961170b77b24110a3655ba7386b04c4,,9e69687eb1b245fdb29d9693b4aec2ec,CSA Z797-18,,Daily,Staff,https://www.csagroup.org/store/product/Z797-18/,Standard grounded by activity.,"CSA Z797-18, Section: 8.4",
"CSA Z797-18, Section: 8.6",,,8.6,"8.6 Documentation and recordkeeping
The following shall be readily available at the site where the scaffold is located:
a) records of all inspections, as required in Clauses 8.2 to 8.4; and
b) design or erection drawings (as applicable), manufacturer's specifications, and supplier's literature.",https://www.notion.so/Scaffold-PM-Data-Recording-764f6dc94c714d909e26c2b2782be9f5,764f6dc94c714d909e26c2b2782be9f5,,,,https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4,4961170b77b24110a3655ba7386b04c4,,699f11300e074ab29566faaf51f4f572,CSA Z797-18,,Daily,Staff,https://www.csagroup.org/store/product/Z797-18/,New activity has been created to meet the standards requirement. ,"CSA Z797-18, Section: 8.6",
", Section: SCBA",,,,"Hydrostatic Test for Steel or Aluminum, a calibrated expansion pressure test of the structural integrity of cylinders. 
Hydrostatic Test for Composite (i.e. Fibreglass, Kevlar, Carbon-wrapped or Hoop-Wound), a calibrated expansion pressure test of the structural integrity of cylinders. 

Hydrostatic test must be completed at a qualified service centre

Steel and aluminum cylinders do not have a specified ""end of service"" life, but must be removed from service upon failure of a hydrostatic test.","https://www.notion.so/Self-contained-breathing-apparatus-SCBA-Hydrostatic-Test-7610a2fcb3294591bccabeb3a85e0f8b, https://www.notion.so/Self-contained-breathing-apparatus-SCBA-Hydrostatic-Test-Inspection-3e57ac9f687040098c67c98a9a174c98","7610a2fcb3294591bccabeb3a85e0f8b,3e57ac9f687040098c67c98a9a174c98",,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,13659af723be49bca9b04ddfbbf1350c,,,5 Years,Contractor,,"Requirement text not found in the sited source(s). 
#SourceUnknown
#UnknownPerformer",", Section: ",
"CSA-Z94.4-18, Section: 11.3.3.1.1",,,11.3.3.1.1,"11.3.3.1 General requirements for inspection of steel, aluminum, and fibre-reinforced cylinders
11.3.3.1.1 A qualified person shall Inspect cylinders externally and internally In accordance with
a) CSA B339 and CSA B340;
b) CGA C-6, C-6.1, or C-6.2, as applicable;
c) applicable transport regulations; and
d) the manufacturer's Instructions.
Notes: 1) Visual internal inspections are required for all cylinders at the time of their hydrostatic testing; see Clouse 11.6.2 for hydrostatic testing requirements. 2) In Canada, applicable transport regulations are issued by Transport Canada under the Transportation of Dangerous Goods Act.
11.3.3.1.2 All composite SCBA cylinders (e.g., fibreglass, Kevlar, carbon-wrapped, or hoop-wound) shall be removed from service no later than 15 years from their date of manufacture.
11.3.3.1.3 Steel and aluminum cylinders over 15 years old shall have the interior of the cylinder inspected at least annually by a qualified person when these cylinders are in current use. Note: This Clouse does not extend the service life of cylinders.",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-General-Inspection-Requirement-55b809f34274490caa6bb6b2de04d630,55b809f34274490caa6bb6b2de04d630,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,b490d89c802d4876bf0b325cfc9de6f3,CSA-Z94.4-18,,Annually,Contractor,https://www.csagroup.org/store/product/CAN%25100CSA-Z94.4-18/,"Maintenance, Inspect, Maintaine","CSA-Z94.4-18, Section: 11.3.3.1.1",
"CSA 339-18, Section: 24.2.9.1",,,24.2.9.1,"24.2.9.1 The containers identified in Clause 24.2.9.3 and used exclusively for the corresponding services indicated therein may be periodically requalified by external visual reinspection without pressure retesting.
Visual reinspections shall be performed in accordance with CGA C-6, C-6.1, or C-6.3, as applicable.","https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-CGA-C-6-a7de57012f0c400ba90ae533c1ae900f, https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-General-Inspection-Requirement-55b809f34274490caa6bb6b2de04d630, https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-CGA-C-6-3-980928f9382e43b2ab18dfa76de11ff7","a7de57012f0c400ba90ae533c1ae900f,55b809f34274490caa6bb6b2de04d630,980928f9382e43b2ab18dfa76de11ff7",,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,6cd4318011d441f8a16ee0cfd64874f5,CSA 339-18,,"#freqIn{CGA C-6, C-6.1, C-6.3}",Contractor,https://www.csagroup.org/store/product/CSA%25100ANSI-C22.2%20NO.%20339-18/,#UnknownPerformer,"CSA 339-18, Section: 24.2.9.1",
"CGA C-6, Section: ",,,,"Comment: may need to purchase, but is contractor task",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-CGA-C-6-a7de57012f0c400ba90ae533c1ae900f,a7de57012f0c400ba90ae533c1ae900f,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,25e782b5f7924ff68e157ef1a093e69c,CGA C-6,,,"Contractor, See Note",https://portal.cganet.com/Publication/Details.aspx?id=C-6,"#CannotAccessMissingDetail
#UnknownPerformer

","CGA C-6, Section: ",
"CGA C-6.1, Section: ",,,,"Comment: may need to purchase, but is contractor task",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-CGA-C-6-1-cb14c1b4e5554d3493100c27e4bc02b6,cb14c1b4e5554d3493100c27e4bc02b6,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,e1df0f1b65944bf5a134b9feaa4f4480,CGA C-6.1,,,"Contractor, See Note",https://portal.cganet.com/Publication/Details.aspx?id=C-6.1,"#CannotAccessMissingDetail
#UnknownPerformer

See note in CGA C-6","CGA C-6.1, Section: ",
"CGA C-6.3, Section: ",,,,"Comment: may need to purchase, but is contractor task",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-CGA-C-6-3-980928f9382e43b2ab18dfa76de11ff7,980928f9382e43b2ab18dfa76de11ff7,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,7162835f8f204c709ca631ddf69d226b,CGA C-6.3,,,"Contractor, See Note",https://portal.cganet.com/Publication/Details.aspx?id=C-6.3,"#CannotAccessMissingDetail
#UnknownPerformer

See note in CGA C-6","CGA C-6.3, Section: ",
"CSA 339-18, Section: 24.2.9.2",,,24.2.9.2,"24.2.9.2 The requalification period for containers requalified by external visual reinspection, as specified in Clause 24.2.9.1, shall be 5 years. An extension to 10 years may be permitted, provided the container is confined to a service in compliance with the following:
a) the lading is a liquefied gas;
b) the LC5o of the lading, by reason of toxicity, is not less than 5000 mL/m3;
c) the LC5o of the lading, by reason of a corrosion effect on tissues of the respiratory tract, is not less than 5000 mL/m3; and d) contamination of the lading by water does not make the lading corrosive to the metals of containment. Note: LC50 is defined in the Transportation of Dangerous Goods Regulations.",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-Containers-Requalification-971ae3110e0846e48045bcb19aecc463,971ae3110e0846e48045bcb19aecc463,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,5940c62c55994706877c81abd1cfdae8,CSA 339-18,,5 Years,"Contractor, See Note",https://www.csagroup.org/store/product/CSA%25100ANSI-C22.2%20NO.%20339-18/,"#UnknownPerformer

See note in CGA C-6","CSA 339-18, Section: 24.2.9.2",
"CSA 339-18, Section: 24.2.9.3",,,24.2.9.3,"24.2.9.3 The visual inspection in lieu of the pressure retest may be used on the following containers:
a) TC-3AM, DOT-3A, TC-3AAM, DOT-3AA, DOT-3B, TC-3ANM, TC-3ASM, DOT-3A480X, DOT-3BN, TC-4AAM33, DOT-4AA480, TC-4BM, DOT-4B, TC-4BAM, DOT-4BA, TC-4BWM, DOT-4BW, DOT-4B240FLW,TC-4BM17ET, DOT-4B240ET, TC-4EM, and DOT-4E containers used to transport a liquefied or nonliquefied noncorrosive gas that requires a marked service pressure not exceeding 3.5 MPa;
b) ICC-3, TC-3AM, DOT-3A, TC-3AAM, DOT-3AA, TC-3ASM, DOT-3B, TC-4BM, DOT-4B, TC-4BAM, DOT-4BA, TC-4BWM, and DOT-4BW containers used exclusively to transport hydrogen fluoride, anhydrous. TC-4BM, DOT-4B, TC-4BAM, and DOT-4BA cylinders shall be of welded construction only. All cylinders shall be cleaned to bare metal before reinspection;
c) TC-4BM, DOT-4B, TC-4BAM, DOT-4BA containers of welded construction only, and TC-4BWM and DOT-4BW cylinders used to transport ethyleneimine, inhibited;
d) steel or nickel cylinders used to transport nickel carbonyl; and
e) cylinders used to transport flammable or corrosive liquids without addition of compressed gas.",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-Visual-Inspection-24f007483fff43f8a47b55642f2e7e7e,24f007483fff43f8a47b55642f2e7e7e,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,dce55fd0b4c94f8ca326a9ba9cf2ff54,CSA 339-18,,N/A,Contractor,https://www.csagroup.org/store/product/CSA%25100ANSI-C22.2%20NO.%20339-18/,#UnknownPerformer,"CSA 339-18, Section: 24.2.9.3",
"CSA-Z94.4-18, Section: 11.6.2",,,11.6.2,"11.6.2 Hydrostatic test
11.6.2.1 Cylinders shall be hydrostatically tested at a frequency and in the manner described in CSA B339 and CM B340. Note: Hydrostatic tests are required every 5 years for all SCBA cylinders.
11.6.2.2 Hydrostatic testing shall be performed by a registered facility in accordance with the requirements of CSA B339 and CSA B340.","https://www.notion.so/Self-contained-breathing-apparatus-SCBA-Hydrostatic-Test-Inspection-3e57ac9f687040098c67c98a9a174c98, https://www.notion.so/Self-contained-breathing-apparatus-SCBA-Hydrostatic-Test-7610a2fcb3294591bccabeb3a85e0f8b","3e57ac9f687040098c67c98a9a174c98,7610a2fcb3294591bccabeb3a85e0f8b",,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,87bc62ed3fac4bdba7fa28d12345293d,CSA-Z94.4-18,,5 Years,Contractor,https://www.csagroup.org/store/product/CAN%25100CSA-Z94.4-18/,,"CSA-Z94.4-18, Section: 11.6.2",
"CSA 339-18, Section: Table 29",,,Table 29,Please refer to the image in the “requirement name” column. ,https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-Containers-Requalification-Period-d917c5dff91e4c1fac667f7f1028806b,d917c5dff91e4c1fac667f7f1028806b,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,9d760496988c4655831e896e55e2d5c8,CSA 339-18,,As per activity,Contractor,https://www.csagroup.org/store/product/CSA%25100ANSI-C22.2%20NO.%20339-18/,,"CSA 339-18, Section: Table 29",
", Section: ",,,,"Breathing air must be replaced 

All components (cylinders, hoses, regulator, pressure gauges, facepiece, harness)
Fit test and ensure all appropriate staff have practiced use of SCBA equipment 

Inspect tank for date stamp of last hydrostatic test 

Replace air in tanks Cylinder inspected internally and externally by qualified service technician 

Apparatus components (hoses, regulator, pressure gauges, facepiece, harness, etc.) inspected by qualified service technician Regulator flow test performed by qualified service technician

",https://www.notion.so/Self-contained-breathing-apparatus-SCBA-Fit-Test-Parts-Inspection-87a7dc56836145b986b868e60c36c885,87a7dc56836145b986b868e60c36c885,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,6210a726e72d4c33a8bbd9e9cd1b2a09,,,,"Assignment Uncertain, Assignment Verifed, Contractor, See Note",,"Requirement text not found in the sited source(s). 
#SourceUnknown",", Section: ",
